DO Facility,DO Address,Total_Trips,Is_Substance_Abuse
Recovery Concepts,"805 Bloomington Rd, Champaign, IL 61821, USA",993,Yes
Unknown Facility,"202 S Bentley St, Marion, IL 62959, USA",587,No
Medmark Champaign,"106 S Country Fair Dr, Champaign, IL 61821, USA",512,Yes
Medmark Normal,"303 Landmark Dr, Normal, IL 61761, USA",329,Yes
Heritage,"151 N Main St, Decatur, IL 62523, USA",257,No
Unknown Facility,"207 Arlington Dr, Danville, IL 61834, USA",167,No
Unknown Facility,"151 N Main St, Decatur, IL 62523, USA",117,No
Unknown Facility,"612 1/2 W Clark St, Champaign, IL 61820, USA",108,No
Unknown Facility,"411 E Washington St, Urbana, IL 61801, USA",105,No
Unknown Facility,"11090 Washington Rd, Clinton, IL 61727, USA",104,No
Medmark Springfield,"1227 S 9th St, Springfield, IL 62703, USA",103,Yes
Unknown Facility,"1052 Eastview Dr, Rantoul, IL 61866, USA",101,No
Unknown Facility,"605 S 2nd St, Irvington, IL 62848, USA",99,No
Unknown Facility,"915 W Webster St, Clinton, IL 61727, USA",95,No
Unknown Facility,"806 W 7th St, West Frankfort, IL 62896, USA",92,No
Unknown Facility,"111 Joplin St, Benton, IL 62812, USA",91,No
Unknown Facility,"1322 W Polk St, Danville, IL 61832, USA",90,No
Unknown Facility,"24 Ridge Dr, Decatur, IL 62521, USA",87,No
Unknown Facility,"509 E North St, Kansas, IL 61933, USA",80,No
Unknown Facility,"2230 College St, Mount Vernon, IL 62864, USA",75,No
Unknown Facility,"106 S Country Fair Dr suite c, Champaign, IL 61821, USA",74,No
Unknown Facility,"205 W Jackson St, Dix, IL 62830, USA",71,No
Unknown Facility,"52 Bismark St, Danville, IL 61832, USA",68,No
Unknown Facility,"1321 Sunset Dr, Rantoul, IL 61866, USA",64,No
Unknown Facility,"907 Fowler Ave, Danville, IL 61832, USA",60,No
Unknown Facility,"1020 Campbell Ln, Danville, IL 61832, USA",58,No
Unknown Facility,"503 Harvey St, Danville, IL 61832, USA",57,No
Unknown Facility,"1202 E Harding Dr, Urbana, IL 61801, USA",57,No
Unknown Facility,"409 N George St, Clinton, IL 61727, USA",55,No
Unknown Facility,"809 W Hill St, Urbana, IL 61801, USA",52,No
Unknown Facility,"1139 E Seminary St, Danville, IL 61832, USA",49,No
Unknown Facility,"4117 IL-154, Pinckneyville, IL 62274, USA",49,No
Unknown Facility,"274 Appletree Dr, Urbana, IL 61802, USA",48,No
Unknown Facility,"801 W Harvard St, Champaign, IL 61820, USA",47,No
Unknown Facility,"2627 Wescott St, Mt Vernon, IL 62864, USA",45,No
Unknown Facility,"114 Cronkhite Ave, Danville, IL 61832, USA",45,No
Unknown Facility,"2062 Bradley Ct, Springfield, IL 62703, USA",44,No
Unknown Facility,"2613 Perrysville Rd, Danville, IL 61834, USA",42,No
Unknown Facility,"3101 County Rd 2 3/4 A, Springfield, IL 62712, USA",41,No
Unknown Facility,"545 W Main St, Decatur, IL 62522, USA",41,No
Unknown Facility,"1605 N Willow Rd, Urbana, IL 61801, USA",41,No
Unknown Facility,"1755 N Main St, Decatur, IL 62526, USA",41,No
Unknown Facility,"549 N Dunham Ave, Decatur, IL 62522, USA",38,No
Unknown Facility,"976 N Woodford St, Decatur, IL 62521, USA",37,No
Unknown Facility,"2007 Mattis Ave, Champaign, IL 61821, USA",36,No
Unknown Facility,"403 Edgebrook Dr, Champaign, IL 61820, USA",33,No
Unknown Facility,"708 E Market St, Bloomington, IL 61701, USA",31,No
Unknown Facility,"2727 N Monroe St, Decatur, IL 62526, USA",30,No
Unknown Facility,"831 E Madison St, Danville, IL 61832, USA",29,No
Unknown Facility,"53 S Virginia Ave, Danville, IL 61832, USA",28,No
Unknown Facility,"1606 E Colorado Ave, Urbana, IL 61802, USA",27,No
Unknown Facility,"804 Turnberry Dr, Bloomington, IL 61701, USA",24,No
Family Guidance Center,"120 N 11th St, Springfield, IL 62703, USA",22,No
Unknown Facility,"820 E Cleveland Ave, Decatur, IL 62521, USA",18,No
Unknown Facility,"2615 Edwards St, Alton, IL 62002, USA",17,No
Unknown Facility,"199 Burdell Ln, Hillsboro, IL 62049, USA",17,No
Unknown Facility,"1001 W Macon St, Clinton, IL 61727, USA",14,No
Unknown Facility,"1115 N Park Ave, Herrin, IL 62948, USA",14,No
Unknown Facility,"5727 Mooney Rd, Niantic, IL 62551, USA",13,No
Unknown Facility,"602 W Jefferson Ave, Altamont, IL 62411, USA",13,No
Unknown Facility,"118 S Main St, Taylorville, IL 62568, USA",12,No
Unknown Facility,"711 W Washington St, Farina, IL 62838, USA",11,No
Unknown Facility,"3101 White Timber Rd, Springfield, IL 62712, USA",11,No
Unknown Facility,"1121 S 13th St, Mount Vernon, IL 62864, USA",11,No
Centerstone,"202 S Bentley St, Marion, IL, 62959, USA",10,No
Unknown Facility,"310 Market St, Shumway, IL 62461, USA",10,No
Unknown Facility,"112 Waymire Ln, Villa Grove, IL 61956, USA",9,No
Unknown Facility,"1307 W Main St, Marion, IL 62959, USA",8,No
Unknown Facility,"104 Van Voorhis Dr, Tuscola, IL 61953, USA",8,No
Unknown Facility,"572 Old Salem Rd, Kell, IL 62853, USA",7,No
Unknown Facility,"101 Plum St, Freeman Spur, IL 62841, USA",7,No
Unknown Facility,"15 N Main St, Altamont, IL 62411, USA",7,No
Unknown Facility,"1330 E Wellington Way, Decatur, IL 62526, USA",5,No
Unknown Facility,"2239 E Cook St, Springfield, IL 62703, USA",5,No
Unknown Facility,"1303 W Evergreen Ave, Effingham, IL 62401, USA",4,No
Unknown Facility,"120 N 11Th St, Springfield, IL 62703, USA",4,No
Unknown Facility,"1813 W Kirby Ave, Champaign, IL 61821, USA",4,No
Unknown Facility,"300 Capitol Point Ct, Vandalia, IL 62471, USA",4,No
Unknown Facility,"816 W William St, Decatur, IL 62522, USA",4,No
Unknown Facility,"612 1/2 W Clark St, Champaign, IL, 61820, USA",4,No
Unknown Facility,"601 W Green St, Le Roy, IL 61752, USA",4,No
Unknown Facility,"201 N Hazel St, Danville, IL 61832, USA",4,No
Unknown Facility,"106 S COUNTRY FAIR DR STE C, CHAMPAIGN, IL, 61821, USA",4,No
Unknown Facility,"1501 Shelby Ave, Mattoon, IL 61938, USA",4,No
Unknown Facility,"2910 N Brownsville Rd, Mount Vernon, IL, 62864, USA",3,No
Unknown Facility,"805 Bloomington Rd, Champaign, IL 61820, USA",3,No
Unknown Facility,"1605 N Willow Rd #309, Urbana, IL 61801, USA",3,No
Unknown Facility,"1202 E Harding Dr #415, Urbana, IL 61801, USA",3,No
Unknown Facility,"1625 W Main St, Decatur, IL 62522, USA",3,No
Unknown Facility,"2007 Cynthia Dr, Champaign, IL 61821, USA",3,No
Unknown Facility,"402 S 5th St, Effingham, IL 62401, USA",3,No
Unknown Facility,"2062 Bradley Ct e, Springfield, IL 62703, USA",3,No
Unknown Facility,"504 Wittenberg Ct, Normal, IL 61761, USA",3,No
Unknown Facility,"708 N Sherman St, Danville, IL 61832, USA",2,No
Unknown Facility,"106 N Country Fair Dr, Champaign, IL 61821, USA",2,No
Medmark Champaign,"106 S Country Fair Dr, Champaign, IL, 61821, USA",2,Yes
Unknown Facility,"1000 Health Center Dr, Mattoon, IL 61938, USA",2,No
Unknown Facility,"2910 N Brownsville Rd, Mt Vernon, IL 62864, USA",2,No
Unknown Facility,"10759 Winterset Dr, Orland Park, IL 60467, USA",2,No
Unknown Facility,"1302 Ave of Mid-America, Effingham, IL 62401, USA",2,No
Unknown Facility,"1801 W Windsor Rd, Champaign, IL 61822, USA",2,No
Unknown Facility,"1112 S Washington St, Naperville, IL 60540, USA",2,No
Unknown Facility,"141 E Pershing Rd, Decatur, IL 62526, USA",2,No
Unknown Facility,"1207 N Merchant St, Effingham, IL 62401, USA",2,No
Unknown Facility,"200 Richmond Ave E, Mattoon, IL 61938, USA",2,No
Carle Hospital,"611 W Park St, Urbana, IL 61801, USA",2,No
Unknown Facility,"976 N Woodford St, Decatur, IL, 62521, USA",2,No
Unknown Facility,"53 S Virginia Ave, Danville, IL, 61832, USA",2,No
Unknown Facility,"304 Illinois Dr, Rantoul, IL 61866, USA",2,No
Unknown Facility,"24 Ridge Dr, Decatur, IL, 62521, USA",2,No
Unknown Facility,"912 S 17th St, Mattoon, IL 61938, USA",2,No
Unknown Facility,"516 W Madison St, Danville, IL 61832, USA",2,No
Unknown Facility,"600 N Keller Dr, Effingham, IL 62401, USA",2,No
Unknown Facility,"821 S Neil St, Champaign, IL 61820, USA",2,No
Unknown Facility,"2301 S Veterans Dr, Effingham, IL 62401, USA",2,No
Unknown Facility,"2313 S 14th St, Springfield, IL 62703, USA",2,No
Unknown Facility,"2727 N Monroe St, Decatur, IL 62522, USA",2,No
Unknown Facility,"219 W Main St, Arcola, IL 61910, USA",2,No
Unknown Facility,"3799 N Portage Pl, Decatur, IL 62526, USA",2,No
Unknown Facility,"4302 Rose Ln apt 2, Mount Vernon, IL, 62864, USA",2,No
Unknown Facility,"2121 E Cantrell St, Decatur, IL 62521, USA",2,No
Unknown Facility,"18304 Quarry Rd, Gillespie, IL 62033, USA",1,No
Unknown Facility,"1008 Shasta Dr, Danville, IL 61832, USA",1,No
Unknown Facility,"1006 E Gordon Ave, Effingham, IL 62401, USA",1,No
Unknown Facility,"1004 Charlotte Dr, Normal, IL 61761, USA",1,No
Family Guidance Center,"120 N 11th St, Springfield, IL, 62703, USA",1,No
Unknown Facility,"1710 E Windsor Rd, Urbana, IL 61802, USA",1,No
Unknown Facility,"1701 Curtis Rd, Champaign, IL 61822, USA",1,No
Unknown Facility,"1825 Maple Ave, Mattoon, IL 61938, USA",1,No
Unknown Facility,"1605 E Colorado Ave, Urbana, IL 61802, USA",1,No
Unknown Facility,"1600 W Bradley Ave, Champaign, IL 61821, USA",1,No
Unknown Facility,"15 W Vine Ave, Charleston, IL 61920, USA",1,No
Unknown Facility,"1405 W Park St, Urbana, IL 61801, USA",1,No
Unknown Facility,"1413 Queens Way, Champaign, IL 61821, USA",1,No
Unknown Facility,"1510 Sunset Dr, Vandalia, IL 62471, USA",1,No
Unknown Facility,"1525 S Fairview Ave, Decatur, IL 62521, USA",1,No
Unknown Facility,"1310 Mark Franklin Dr, Benton, IL 62812, USA",1,No
Unknown Facility,"132 W Walnut St, Albion, IL 62806, USA",1,No
Unknown Facility,"111 Joplin St, Benton, IL, 62812, USA",1,No
Unknown Facility,"1202 E Harding Dr APT415, Urbana, IL, 61801, USA",1,No
Unknown Facility,"119 W St Clair St, Vandalia, IL 62471, USA",1,No
Unknown Facility,"1113 Mimosa Dr, Champaign, IL 61821, USA",1,No
Unknown Facility,"1102 Gaskins Ave, Mount Vernon, IL 62864, USA",1,No
Unknown Facility,"108 Illinois Ave, South Roxana, IL 62087, USA",1,No
Unknown Facility,"1106 N Merchant St, Effingham, IL 62401, USA",1,No
Unknown Facility,"1106 E North Line Rd, Tuscola, IL 61953, USA",1,No
Unknown Facility,"1204 Avenue Of Mid America, Effingham, IL 62401, USA",1,No
Unknown Facility,"12201 S Harlem Ave, Palos Heights, IL 60463, USA",1,No
Unknown Facility,"12 N 3rd St, Altamont, IL 62411, USA",1,No
Unknown Facility,"1003 Martin Luther King Jr Dr, Bloomington, IL 61701, USA",1,No
Unknown Facility,"1003 Martin Luther King Dr, Bloomington, IL 61701, USA",1,No
Unknown Facility,"100 Deerpath, Charleston, IL 61920, USA",1,No
Unknown Facility,"102 Bay Shore Dr, Decatur, IL 62521, USA",1,No
Unknown Facility,"1050 Eastview Dr, Rantoul, IL 61866, USA",1,No
Unknown Facility,"1905 W Springfield Ave, Champaign, IL 61821, USA",1,No
Unknown Facility,"1869 Old Park Ave, Mulberry Grove, IL 62262, USA",1,No
Unknown Facility,"1907 N Cunningham Ave, Urbana, IL 61802, USA",1,No
Unknown Facility,"4505 N Rockwood Dr, Peoria, IL 61615, USA",1,No
Unknown Facility,"411 E Washington St, Urbana, IL, 61801, USA",1,No
Unknown Facility,"401 N Veterans Pkwy, Bloomington, IL 61704, USA",1,No
Unknown Facility,"4209 Gateway Blvd, Newburgh, IN 476308900, USA",1,No
Unknown Facility,"425 S State St, Westville, IL 61883, USA",1,No
Unknown Facility,"305 N Broadway St, Newman, IL 61942, USA",1,No
Unknown Facility,"302 Landmark Dr, Normal, IL 61761, USA",1,No
Unknown Facility,"3105 Fields S Dr, Champaign, IL 61822, USA",1,No
Unknown Facility,"312 W Oak St, Ashmore, IL 61912, USA",1,No
Unknown Facility,"317 Orchard St, Catlin, IL 61817, USA",1,No
Unknown Facility,"3180 N 400 St, Ramsey, IL 62080, USA",1,No
Unknown Facility,"404 W Beardsley Ave, Champaign, IL 61820, USA",1,No
Unknown Facility,"409 W 11th St, Johnston City, IL 62951, USA",1,No
Unknown Facility,"2918 Crossing Ct, Champaign, IL 61822, USA",1,No
Unknown Facility,"2920 Veterans Memorial Dr, Mount Vernon, IL 62864, USA",1,No
Unknown Facility,"2203 E Washington St, Urbana, IL 61802, USA",1,No
Unknown Facility,"22 Tennessee Ave, Danville, IL 61832, USA",1,No
Unknown Facility,"204 Van Voorhis Dr, Tuscola, IL 61953, USA",1,No
Unknown Facility,"2023 Vadalabene Dr, Maryville, IL 62062, USA",1,No
Unknown Facility,"202 S Bentley St, Marion, IL, 62959, USA",1,No
